carg_perm_acci_id;carg_id;perm_acci_id;carg_perm_acci_esta;audi_freg;audi_fact;user_id
1;1;1;A;now();now();NULL
2;1;2;A;now();now();NULL
3;1;3;A;now();now();NULL
4;1;4;A;now();now();NULL
5;1;5;A;now();now();NULL
6;1;6;A;now();now();NULL
7;1;7;A;now();now();NULL
8;1;8;A;now();now();NULL
9;1;9;A;now();now();NULL
10;1;10;A;now();now();NULL
11;1;11;A;now();now();NULL
12;1;12;A;now();now();NULL
13;1;13;A;now();now();NULL
14;1;14;A;now();now();NULL
15;1;15;A;now();now();NULL
16;1;16;A;now();now();NULL
17;1;17;A;now();now();NULL
18;1;18;A;now();now();NULL
19;1;19;A;now();now();NULL
20;1;20;A;now();now();NULL
21;1;21;A;now();now();NULL
22;1;22;A;now();now();NULL
23;1;23;A;now();now();NULL
24;1;24;A;now();now();NULL
25;1;25;A;now();now();NULL
26;1;26;A;now();now();NULL
27;1;27;A;now();now();NULL
28;1;28;A;now();now();NULL
29;1;29;A;now();now();NULL
30;1;30;A;now();now();NULL
31;1;31;A;now();now();NULL
32;1;32;A;now();now();NULL
33;1;33;A;now();now();NULL
34;1;34;A;now();now();NULL
35;1;35;A;now();now();NULL
36;1;36;A;now();now();NULL
37;1;37;A;now();now();NULL
38;1;38;A;now();now();NULL
39;1;39;A;now();now();NULL
40;1;40;A;now();now();NULL
41;1;41;A;now();now();NULL
42;1;42;A;now();now();NULL
43;1;43;A;now();now();NULL
44;1;44;A;now();now();NULL
45;1;45;A;now();now();NULL
46;1;46;A;now();now();NULL
47;1;47;A;now();now();NULL
48;1;48;A;now();now();NULL
49;1;49;A;now();now();NULL
50;1;50;A;now();now();NULL
51;1;51;A;now();now();NULL
52;1;52;A;now();now();NULL
53;1;53;A;now();now();NULL
54;1;54;A;now();now();NULL
55;1;55;A;now();now();NULL
56;1;56;A;now();now();NULL
57;1;57;A;now();now();NULL
58;1;58;A;now();now();NULL
59;1;59;A;now();now();NULL
60;1;60;A;now();now();NULL
61;1;61;A;now();now();NULL
62;1;62;A;now();now();NULL
63;1;63;A;now();now();NULL
64;1;64;A;now();now();NULL
65;1;65;A;now();now();NULL
66;1;66;A;now();now();NULL
67;1;67;A;now();now();NULL
68;1;68;A;now();now();NULL
69;1;69;A;now();now();NULL
70;1;70;A;now();now();NULL
71;1;71;A;now();now();NULL
72;1;72;A;now();now();NULL
73;1;73;A;now();now();NULL
74;1;74;A;now();now();NULL
75;1;75;A;now();now();NULL
76;1;76;A;now();now();NULL
77;1;77;A;now();now();NULL
78;1;78;A;now();now();NULL
79;1;79;A;now();now();NULL
80;2;79;A;now();now();NULL
81;3;1;A;now();now();NULL
82;4;2;A;now();now();NULL
83;5;3;A;now();now();NULL
84;6;7;A;now();now();NULL
85;7;8;A;now();now();NULL
86;8;9;A;now();now();NULL
87;9;13;A;now();now();NULL
88;10;14;A;now();now();NULL
89;11;15;A;now();now();NULL
90;12;19;A;now();now();NULL
91;13;20;A;now();now();NULL
92;14;21;A;now();now();NULL
93;15;25;A;now();now();NULL
94;16;26;A;now();now();NULL
95;17;27;A;now();now();NULL
96;18;31;A;now();now();NULL
97;19;32;A;now();now();NULL
98;20;33;A;now();now();NULL
99;21;37;A;now();now();NULL
100;22;38;A;now();now();NULL
101;23;39;A;now();now();NULL
102;24;43;A;now();now();NULL
103;25;44;A;now();now();NULL
104;26;45;A;now();now();NULL
105;27;49;A;now();now();NULL
106;28;50;A;now();now();NULL
107;29;51;A;now();now();NULL
108;30;55;A;now();now();NULL
109;31;56;A;now();now();NULL
110;32;57;A;now();now();NULL
111;33;61;A;now();now();NULL
112;34;62;A;now();now();NULL
113;35;63;A;now();now();NULL
114;36;67;A;now();now();NULL
115;37;68;A;now();now();NULL
116;38;69;A;now();now();NULL
117;39;73;A;now();now();NULL
118;40;74;A;now();now();NULL
119;41;75;A;now();now();NULL
