pers_id;pers_dni;pers_nomb;pers_apel;pers_fnac;pers_dire;pers_telf;pers_fing;pers_emai;perm_esta;audi_freg;audi_fact;user_id;carg_id
1;11111111;Administrador;Administrador;1982-04-19;null;362-3915;2011-01-09;ut.eros.non@diamvelarcu.edu;A;now();now();NULL;1
2;22222222;Gestor;Gestor;1986-06-23;null;1-966-279-6303;2010-04-23;augue@volutpatornare.com;A;now();now();NULL;2
3;40185112;Honorina;Muñoz Molina;1981-06-06;null;1-341-124-9180;2014-10-13;dignissim.Maecenas@ipsumdolorsit.edu;A;now();now();NULL;3
4;31980876;Marilyn Marlene;Arratia Rivas;1981-05-14;null;699-1278;2014-08-12;lorem@Suspendisse.net;A;now();now();NULL;3
5;15022275;Francisco Segundo;Ascencio Vera;1989-04-06;null;331-7822;2015-02-19;dolor.nonummy@aliquam.co.uk;A;now();now();NULL;3
6;34219303;Susana Angela;Mora Soutullo;1980-12-20;null;365-9972;2015-09-02;sapien.cursus@non.co.uk;A;now();now();NULL;3
7;25970989;Bernarda del Carmen;Fonseca;1987-01-06;null;549-5792;2010-11-22;Cras.vehicula@consectetuereuismodest.co.uk;A;now();now();NULL;3
8;14337900;Segundo Ramón;Paz Zambrano;1987-07-03;null;266-3920;2015-04-04;enim.sit.amet@nulla.com;A;now();now();NULL;3
9;35034329;Flor Esilda;Bustos Riffo;1983-05-10;null;748-9046;2010-10-29;elit.Curabitur.sed@Donecdignissim.com;A;now();now();NULL;3
10;10783659;Cecilia ;Gallardo Tapia;1982-02-23;null;297-8138;2010-04-03;in@idrisus.net;A;now();now();NULL;3
11;20841981;Samuel Segundo;Alarcón Valdebenito;1983-11-22;null;1-705-503-7002;2013-02-05;at.velit.Pellentesque@enimEtiam.com;A;now();now();NULL;3
12;7071665;Sonia Inés;Leal Leal;1983-01-13;null;1-315-645-0687;2011-11-19;at.egestas.a@tincidunt.org;A;now();now();NULL;3
13;49208157;Lucila ;Aravena Hernandez;1989-12-16;null;717-2999;2011-04-15;ipsum.sodales.purus@leoinlobortis.co.uk;A;now();now();NULL;3
14;14194092;Juan;Carrasco Vega;1982-09-05;null;1-589-609-9205;2015-01-18;Proin@eutelluseu.edu;A;now();now();NULL;3
15;30079215;Maritza ;Lagos Oliva ;1987-09-22;null;912-9719;2015-12-08;gravida.sagittis@egestas.ca;A;now();now();NULL;3
16;10047403;Irma Eliana;Recabal Silva;1986-12-11;null;1-517-637-5179;2012-08-10;habitant.morbi.tristique@sodalespurus.com;A;now();now();NULL;3
17;48982803;José;Medina Cisternas;1989-01-07;null;612-1277;2011-12-08;Aliquam@vitaerisus.ca;A;now();now();NULL;3
18;47098045;Rosa Eulalia;Vera Meli;1988-12-16;null;1-439-880-6001;2012-03-29;imperdiet@Morbiquis.edu;A;now();now();NULL;3
19;37663604;Flilomena del Carmen;Loyola Cortéz;1988-03-12;null;605-2227;2010-10-08;vitae@temporarcuVestibulum.org;A;now();now();NULL;3
20;23483477;Juan;Ramos Peña;1986-04-19;null;1-775-963-4889;2014-10-28;blandit.viverra.Donec@risusQuisque.com;A;now();now();NULL;3
21;38938479;Edita;Salgado Ortiz;1987-10-04;null;1-485-466-4267;2014-03-01;odio.Aliquam@magnis.co.uk;A;now();now();NULL;3
22;27354333;Rosa Elena;Romero benavente;1985-04-10;null;1-894-189-1428;2011-11-19;ornare.egestas@Suspendisse.org;A;now();now();NULL;3
23;32082707;Ema del Carmen;Rocha saez;1987-04-01;null;373-9134;2010-04-04;at@MorbimetusVivamus.edu;A;now();now();NULL;3
